Time,Open,High,Low,Close,Volume
1585589460000,6340.51000000,6349.76000000,6338.86000000,6344.86000000,68.76144100
1585589520000,6344.86000000,6350.29000000,6343.78000000,6350.00000000,34.45871200
1585589580000,6349.56000000,6354.33000000,6348.23000000,6350.43000000,31.61518400
1585589640000,6351.15000000,6351.99000000,6340.23000000,6340.76000000,26.01974400
1585589700000,6340.12000000,6345.77000000,6340.01000000,6344.44000000,37.58055300
1585589760000,6344.19000000,6345.72000000,6335.00000000,6338.13000000,59.55267700
1585589820000,6338.13000000,6341.29000000,6336.63000000,6337.28000000,16.54372500
1585589880000,6337.58000000,6342.00000000,6335.00000000,6340.19000000,27.07166500
1585589940000,6340.48000000,6347.34000000,6339.87000000,6345.90000000,24.82683700
1585590000000,6346.04000000,6346.65000000,6339.87000000,6342.61000000,55.92895800
1585590060000,6342.61000000,6342.71000000,6330.00000000,6332.74000000,144.84216200
1585590120000,6332.75000000,6335.92000000,6332.44000000,6334.98000000,20.73942700
1585590180000,6335.00000000,6339.52000000,6334.00000000,6335.84000000,38.29435800
1585590240000,6334.94000000,6347.00000000,6334.93000000,6346.99000000,65.00258300
1585590300000,6347.00000000,6357.73000000,6346.99000000,6353.58000000,80.70118900
1585590360000,6353.27000000,6354.02000000,6347.34000000,6347.91000000,20.22698500
1585590420000,6349.37000000,6353.00000000,6343.79000000,6352.63000000,45.82983700
1585590480000,6352.55000000,6353.99000000,6346.85000000,6347.30000000,15.46410700
1585590540000,6347.43000000,6352.21000000,6343.89000000,6351.25000000,21.89607500
1585590600000,6351.00000000,6353.78000000,6348.32000000,6351.60000000,25.86102800
1585590660000,6351.48000000,6355.00000000,6350.89000000,6351.50000000,19.04757800
1585590720000,6351.82000000,6356.79000000,6351.39000000,6352.85000000,50.55099100
1585590780000,6352.86000000,6365.00000000,6352.67000000,6362.00000000,46.37357800
1585590840000,6362.01000000,6365.11000000,6353.45000000,6362.90000000,75.74456800
1585590900000,6360.97000000,6364.00000000,6357.45000000,6359.33000000,47.78562400
1585590960000,6358.73000000,6359.95000000,6337.45000000,6350.09000000,141.13264500
1585591020000,6350.09000000,6354.28000000,6345.86000000,6351.14000000,53.64255200
1585591080000,6350.00000000,6359.00000000,6350.00000000,6356.73000000,19.91958000
1585591140000,6356.73000000,6358.78000000,6350.00000000,6350.46000000,30.80276500
1585591200000,6350.01000000,6351.93000000,6346.20000000,6350.23000000,34.71453200
1585591260000,6350.00000000,6351.07000000,6347.03000000,6349.29000000,13.32821800
1585591320000,6349.29000000,6349.29000000,6342.87000000,6346.49000000,39.31088200
1585591380000,6346.49000000,6352.13000000,6345.74000000,6348.50000000,44.61947400
1585591440000,6349.30000000,6350.00000000,6343.73000000,6346.02000000,43.18268000
1585591500000,6345.69000000,6354.18000000,6345.40000000,6352.19000000,32.63219600
1585591560000,6352.20000000,6354.19000000,6345.40000000,6348.35000000,28.56802500
1585591620000,6347.99000000,6350.89000000,6345.41000000,6345.89000000,18.82283600
1585591680000,6345.89000000,6349.94000000,6343.72000000,6348.56000000,19.28541900
1585591740000,6349.00000000,6349.69000000,6343.65000000,6346.06000000,18.40817200
1585591800000,6345.64000000,6346.12000000,6339.28000000,6344.58000000,50.69061900
1585591860000,6344.71000000,6345.00000000,6335.03000000,6337.42000000,46.27169200
1585591920000,6336.54000000,6338.48000000,6335.00000000,6336.50000000,17.70542000
1585591980000,6336.50000000,6341.16000000,6335.02000000,6336.37000000,28.69369700
1585592040000,6336.07000000,6336.91000000,6325.95000000,6335.40000000,93.29587500
1585592100000,6334.62000000,6336.94000000,6327.15000000,6333.72000000,35.10464900
1585592160000,6333.72000000,6333.72000000,6327.08000000,6328.30000000,36.13578700
1585592220000,6329.75000000,6334.60000000,6322.49000000,6334.56000000,104.40735600
1585592280000,6334.47000000,6335.00000000,6330.33000000,6334.32000000,36.84809200
1585592340000,6334.00000000,6341.54000000,6329.58000000,6339.00000000,67.25818600
1585592400000,6338.00000000,6342.67000000,6333.29000000,6342.67000000,41.86593100
1585592460000,6342.50000000,6343.13000000,6339.81000000,6342.00000000,7.17262600
1585592520000,6341.99000000,6342.00000000,6337.13000000,6339.68000000,31.81649300
1585592580000,6339.95000000,6348.61000000,6339.95000000,6344.98000000,27.87640600
1585592640000,6344.28000000,6344.28000000,6336.52000000,6338.67000000,13.36116100
1585592700000,6338.67000000,6338.67000000,6334.48000000,6335.58000000,14.39235600
1585592760000,6334.83000000,6336.04000000,6332.63000000,6334.48000000,8.82153200
1585592820000,6334.51000000,6340.14000000,6334.44000000,6340.07000000,14.84635300
1585592880000,6340.01000000,6343.12000000,6337.03000000,6343.12000000,9.25840100
1585592940000,6342.00000000,6347.99000000,6342.00000000,6346.37000000,25.09190200
1585593000000,6346.37000000,6349.89000000,6346.01000000,6349.82000000,13.78183300
1585593060000,6349.58000000,6354.21000000,6346.52000000,6347.54000000,57.21314400
1585593120000,6347.52000000,6352.62000000,6346.56000000,6348.00000000,15.56664500
1585593180000,6348.01000000,6354.39000000,6346.45000000,6352.52000000,12.84728900
1585593240000,6352.90000000,6355.00000000,6348.50000000,6352.53000000,21.09028400
1585593300000,6353.01000000,6354.66000000,6349.09000000,6353.02000000,19.33097900
1585593360000,6352.93000000,6356.17000000,6351.00000000,6352.07000000,36.07307100
1585593420000,6351.48000000,6355.81000000,6350.10000000,6350.22000000,47.90467200
1585593480000,6350.27000000,6351.96000000,6345.15000000,6348.55000000,44.67973100
1585593540000,6347.92000000,6355.05000000,6346.26000000,6350.44000000,37.81802400
1585593600000,6350.43000000,6357.97000000,6350.43000000,6355.54000000,24.37613900
1585593660000,6356.33000000,6360.00000000,6352.41000000,6356.67000000,41.71574200
1585593720000,6355.93000000,6357.63000000,6351.80000000,6356.35000000,16.39734900
1585593780000,6356.36000000,6370.00000000,6355.95000000,6369.99000000,73.83417500
1585593840000,6370.00000000,6374.99000000,6363.15000000,6365.17000000,143.50841700
1585593900000,6364.23000000,6370.00000000,6363.03000000,6367.58000000,31.50330900
1585593960000,6367.23000000,6367.23000000,6365.00000000,6365.00000000,14.91330100
1585594020000,6365.00000000,6372.03000000,6364.08000000,6369.19000000,39.80588800
1585594080000,6368.79000000,6370.00000000,6359.30000000,6360.68000000,39.68166900
1585594140000,6360.67000000,6362.99000000,6357.91000000,6358.86000000,30.62452800
1585594200000,6358.93000000,6363.00000000,6356.73000000,6358.32000000,53.51819100
1585594260000,6357.96000000,6364.00000000,6357.39000000,6361.02000000,45.41720000
1585594320000,6361.57000000,6362.85000000,6357.36000000,6358.94000000,16.21904300
1585594380000,6358.51000000,6363.95000000,6355.87000000,6360.38000000,37.05692500
1585594440000,6360.00000000,6361.98000000,6356.63000000,6356.98000000,28.30849100
1585594500000,6357.96000000,6363.00000000,6355.99000000,6360.81000000,32.47318000
1585594560000,6361.30000000,6366.56000000,6361.26000000,6365.61000000,22.92738700
1585594620000,6365.61000000,6369.68000000,6363.07000000,6366.36000000,114.13712300
1585594680000,6366.36000000,6369.56000000,6362.10000000,6363.36000000,39.00532000
1585594740000,6362.48000000,6367.85000000,6360.77000000,6363.01000000,28.32156300
1585594800000,6362.72000000,6372.01000000,6362.72000000,6368.46000000,63.93018200
1585594860000,6368.46000000,6369.58000000,6362.62000000,6362.62000000,19.40745100
1585594920000,6362.82000000,6363.77000000,6352.54000000,6353.08000000,31.51881100
1585594980000,6354.17000000,6356.51000000,6351.87000000,6353.82000000,24.37708800
1585595040000,6354.24000000,6354.53000000,6350.00000000,6351.39000000,14.27126200
1585595100000,6351.00000000,6357.13000000,6350.00000000,6354.64000000,29.37432600
1585595160000,6354.64000000,6356.01000000,6351.12000000,6351.86000000,12.59754800
1585595220000,6351.86000000,6352.17000000,6350.35000000,6350.70000000,9.23552900
1585595280000,6350.86000000,6354.92000000,6350.07000000,6353.54000000,10.29517500
1585595340000,6353.84000000,6356.94000000,6353.54000000,6356.34000000,12.38314800
1585595400000,6355.46000000,6360.00000000,6354.86000000,6357.35000000,33.95583600
1585595460000,6357.94000000,6360.00000000,6355.01000000,6359.28000000,18.58950700
1585595520000,6359.79000000,6364.45000000,6359.46000000,6364.44000000,17.28709200
1585595580000,6364.50000000,6370.47000000,6364.01000000,6370.46000000,40.60325700
1585595640000,6370.46000000,6372.99000000,6365.96000000,6365.97000000,47.32059500
1585595700000,6365.96000000,6373.31000000,6363.38000000,6372.99000000,44.73480600
1585595760000,6372.65000000,6374.12000000,6370.83000000,6374.12000000,23.48665200
1585595820000,6374.12000000,6379.56000000,6369.90000000,6375.06000000,59.29031500
1585595880000,6375.16000000,6380.00000000,6374.23000000,6375.12000000,40.91805600
1585595940000,6375.12000000,6386.00000000,6375.01000000,6383.86000000,122.25847400
1585596000000,6383.87000000,6392.17000000,6380.00000000,6392.05000000,118.88379900
1585596060000,6392.07000000,6402.41000000,6379.97000000,6380.79000000,213.24444700
1585596120000,6380.78000000,6384.22000000,6368.02000000,6373.02000000,73.09518100
1585596180000,6374.26000000,6374.97000000,6365.44000000,6365.44000000,49.93301800
1585596240000,6365.44000000,6369.77000000,6363.64000000,6364.65000000,25.51169500
1585596300000,6364.86000000,6364.86000000,6353.62000000,6359.88000000,58.02154300
1585596360000,6359.76000000,6367.14000000,6357.77000000,6361.55000000,91.38235300
1585596420000,6361.50000000,6362.37000000,6348.59000000,6349.76000000,79.05775500
1585596480000,6350.44000000,6356.58000000,6349.69000000,6353.68000000,30.23495700
1585596540000,6353.68000000,6359.02000000,6353.67000000,6357.63000000,23.12729700
1585596600000,6357.63000000,6360.00000000,6350.90000000,6358.72000000,48.06652000
1585596660000,6358.62000000,6359.00000000,6350.78000000,6351.88000000,21.45275100
1585596720000,6352.24000000,6353.83000000,6346.18000000,6348.00000000,56.65319600
1585596780000,6348.00000000,6361.73000000,6348.00000000,6358.40000000,73.66002200
1585596840000,6358.41000000,6359.45000000,6352.27000000,6355.53000000,23.24186900
1585596900000,6355.92000000,6359.49000000,6355.29000000,6358.23000000,22.08073200
1585596960000,6358.55000000,6365.00000000,6352.79000000,6363.73000000,36.27517800
1585597020000,6363.73000000,6363.73000000,6355.00000000,6358.50000000,37.40709200
1585597080000,6358.69000000,6363.85000000,6356.19000000,6362.09000000,22.74275100
1585597140000,6361.84000000,6365.00000000,6359.29000000,6363.62000000,7.66093200
1585597200000,6364.16000000,6367.47000000,6356.16000000,6360.72000000,44.36537700
1585597260000,6359.90000000,6362.67000000,6358.00000000,6359.21000000,11.42068900
1585597320000,6359.47000000,6367.41000000,6359.31000000,6361.71000000,58.66175200
1585597380000,6361.71000000,6361.71000000,6358.09000000,6359.00000000,20.62788300
1585597440000,6359.00000000,6359.71000000,6354.00000000,6356.65000000,26.35080600
1585597500000,6357.04000000,6357.89000000,6350.00000000,6352.78000000,51.20753500
1585597560000,6352.79000000,6359.37000000,6352.78000000,6355.07000000,27.82601500
1585597620000,6355.03000000,6360.00000000,6353.70000000,6357.38000000,22.97451800
1585597680000,6357.38000000,6364.32000000,6355.29000000,6358.57000000,41.56233900
1585597740000,6358.67000000,6365.00000000,6357.13000000,6361.96000000,42.42505500
1585597800000,6362.56000000,6372.81000000,6362.56000000,6367.63000000,61.97374200
1585597860000,6367.62000000,6370.66000000,6364.25000000,6368.52000000,39.28575600
1585597920000,6368.77000000,6368.94000000,6358.08000000,6362.36000000,55.82775700
1585597980000,6362.36000000,6364.86000000,6357.10000000,6360.50000000,24.01511700
1585598040000,6360.71000000,6375.00000000,6359.24000000,6369.95000000,31.20680500
1585598100000,6370.18000000,6370.18000000,6365.03000000,6366.43000000,27.06009400
1585598160000,6366.47000000,6369.99000000,6365.00000000,6365.00000000,9.55946200
1585598220000,6365.01000000,6367.51000000,6359.83000000,6359.83000000,20.34365900
1585598280000,6359.99000000,6365.13000000,6357.78000000,6362.12000000,35.52200600
1585598340000,6362.11000000,6369.67000000,6361.58000000,6366.74000000,11.85059100
1585598400000,6366.50000000,6373.06000000,6363.78000000,6365.31000000,36.20636200
1585598460000,6364.50000000,6369.16000000,6363.92000000,6365.03000000,20.88998700
1585598520000,6365.76000000,6380.00000000,6365.76000000,6375.22000000,78.06999900
1585598580000,6376.06000000,6382.00000000,6374.70000000,6380.37000000,51.03725600
1585598640000,6380.15000000,6380.50000000,6375.00000000,6377.21000000,36.95043700
1585598700000,6377.17000000,6380.91000000,6377.16000000,6378.44000000,21.00907500
1585598760000,6378.45000000,6421.98000000,6377.76000000,6399.94000000,491.59798800
1585598820000,6399.52000000,6401.20000000,6384.83000000,6386.78000000,161.66441200
1585598880000,6387.59000000,6393.50000000,6384.40000000,6385.02000000,81.09859000
1585598940000,6385.99000000,6400.00000000,6383.43000000,6390.94000000,68.55910600
1585599000000,6390.94000000,6403.19000000,6390.18000000,6399.40000000,66.51821500
1585599060000,6399.40000000,6404.98000000,6395.00000000,6398.59000000,84.30556100
1585599120000,6398.59000000,6406.90000000,6398.59000000,6400.00000000,99.07484100
1585599180000,6400.01000000,6420.00000000,6400.00000000,6411.57000000,152.59487000
1585599240000,6411.07000000,6419.70000000,6405.28000000,6415.69000000,67.64361100
1585599300000,6416.79000000,6431.68000000,6416.79000000,6422.06000000,289.73594200
1585599360000,6420.88000000,6430.00000000,6420.88000000,6428.64000000,90.22258500
1585599420000,6429.33000000,6458.00000000,6428.76000000,6451.34000000,628.85097200
1585599480000,6452.58000000,6500.00000000,6452.58000000,6482.25000000,1124.67216100
1585599540000,6482.18000000,6482.92000000,6445.01000000,6450.00000000,274.66352200
1585599600000,6449.99000000,6462.41000000,6440.00000000,6458.86000000,318.05671400
1585599660000,6458.86000000,6480.00000000,6453.56000000,6460.09000000,157.20343400
