,Time,Mean,SMA_3,SMA_10,SMA_50,signals,positions,current_position,Argent Fixe,Solde Net,%PnL,infos,total
1,2020-04-30 01:57:14,8805.45120974,,,,0,0,0.00000000,47.76148046,47.76148046,0.0,0,47.76148046
2,2020-04-30 01:57:16,8805.92072906,,,,0.0,0.0,0.00000000,47.76148046,47.76148046,0.0,0.0,47.76148046
3,2020-04-30 01:57:20,8806.25651569,,,,0.0,0.0,0.00000000,47.76148046,47.76148046,0.0,0.0,47.76148046
4,2020-04-30 01:57:22,8806.08368757,,,,0.0,0.0,0.00000000,47.76148046,47.76148046,0.0,0.0,47.76148046
5,2020-04-30 01:57:24,8806.35636579,,,,0.0,0.0,0.00000000,47.76148046,47.76148046,0.0,0.0,47.76148046
6,2020-04-30 01:57:27,8806.54990352,,,,0.0,0.0,0.00000000,47.76148046,47.76148046,0.0,0.0,47.76148046
7,2020-04-30 01:57:29,8806.12481921,,,,0.0,0.0,0.00000000,47.76148046,47.76148046,0.0,0.0,47.76148046
8,2020-04-30 01:57:31,8805.94926351,,,,0.0,0.0,0.00000000,47.76148046,47.76148046,0.0,0.0,47.76148046
9,2020-04-30 01:57:33,8806.00828052,,,,0.0,0.0,0.00000000,47.76148046,47.76148046,0.0,0.0,47.76148046
10,2020-04-30 01:57:36,8806.85325760,,,,0.0,0.0,0.00000000,47.76148046,47.76148046,0.0,0.0,47.76148046
11,2020-04-30 01:57:38,8806.34857273,,,,0.0,0.0,0.00000000,47.76148046,47.76148046,0.0,0.0,47.76148046
12,2020-04-30 01:57:40,8806.33485401,,,,0.0,0.0,0.00000000,47.76148046,47.76148046,0.0,0.0,47.76148046
13,2020-04-30 01:57:42,8805.93972735,,,,0.0,0.0,0.00000000,47.76148046,47.76148046,0.0,0.0,47.76148046
14,2020-04-30 01:57:44,8805.92146265,,,,0.0,0.0,0.00000000,47.76148046,47.76148046,0.0,0.0,47.76148046
15,2020-04-30 01:57:47,8806.62415043,,,,0.0,0.0,0.00000000,47.76148046,47.76148046,0.0,0.0,47.76148046
16,2020-04-30 01:57:49,8806.65629641,,,,0.0,0.0,0.00000000,47.76148046,47.76148046,0.0,0.0,47.76148046
17,2020-04-30 01:57:51,8807.46994652,,,,0.0,0.0,0.00000000,47.76148046,47.76148046,0.0,0.0,47.76148046
18,2020-04-30 01:57:53,8807.46986574,,,,0.0,0.0,0.00000000,47.76148046,47.76148046,0.0,0.0,47.76148046
19,2020-04-30 01:57:55,8807.74708989,,,,0.0,0.0,0.00000000,47.76148046,47.76148046,0.0,0.0,47.76148046
20,2020-04-30 01:57:58,8809.12531059,8806.559565426502,,,0.0,0.0,0.00000000,47.76148046,47.76148046,0.0,0.0,47.76148046
21,2020-04-30 01:58:00,8808.93020716,8806.733515297503,,,0.0,0.0,0.00000000,47.76148046,47.76148046,0.0,0.0,47.76148046
22,2020-04-30 01:58:02,8809.51201211,8806.913079450003,,,0.0,0.0,0.00000000,47.76148046,47.76148046,0.0,0.0,47.76148046
23,2020-04-30 01:58:04,8811.35805472,8807.168156401503,,,0.0,0.0,0.00000000,47.76148046,47.76148046,0.0,0.0,47.76148046
24,2020-04-30 01:58:06,8812.41900617,8807.484922331503,,,0.0,0.0,0.00000000,47.76148046,47.76148046,0.0,0.0,47.76148046
25,2020-04-30 01:58:09,8813.96451888,8807.865329986003,,,0.0,0.0,0.00000000,47.76148046,47.76148046,0.0,0.0,47.76148046
26,2020-04-30 01:58:11,8814.36721206,8808.256195413003,,,0.0,0.0,0.00000000,47.76148046,47.76148046,0.0,0.0,47.76148046
27,2020-04-30 01:58:13,8813.71250980,8808.635579942504,,,0.0,0.0,0.00000000,47.76148046,47.76148046,0.0,0.0,47.76148046
